STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,MCYCL_WT,VIN_REST,WHLDRWHL,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,CERT_NO,WORK_INJ,HISPANIC,RACE,LOCATION
12,121713,2,1,1,0,3,12,10,2,23,11,12,2,0,2,2404,14,1997,T,JEEP,LRT,4W,97,17,NA,1,0,1059,GCK,G,NA,NA,6,242,NA,NA,NA,3513,02,NA,E,42,0,0,0,0,12,0,47,2,1,3,11,3,0,1,0,0,0,1,9,2,1,29,9,8,2,1,0,0,1,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
12,121909,1,1,1,0,11,11,11,1,45,11,1,0,0,12,12401,14,2000,P,FORD,EPR,UT,0,17,3970,NA,0,1116,NA,G,NA,FALSE,6,245,NA,16R255,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,27,2,1,4,11,7,0,20,1,9,0,0,9,2,1,2,8,8,0,0,0,0,0,0,0,5,0,11,11,2012,2,32,232,0,47,0,0,0,************,0,7,1,0
12,121997,1,1,1,0,103,2,12,14,33,11,1,0,0,12,12401,14,1996,P,FORD,EPR,UT,96,17,3952,NA,0,1115,NA,G,NA,FALSE,6,245,NA,15R225,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,50,2,1,2,11,7,0,1,0,0,0,1,9,2,1,3,1,8,2,1,0,0,998,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
13,130067,1,1,1,0,121,24,1,23,20,11,8,0,0,37,37031,2,1998,P,HOND,UAX,CP,98,17,2511,NA,0,1032,NA,G,NA,FALSE,4,097,NA,14R185,NA,NA,NA,NA,NA,NA,0,0,0,0,12,0,22,2,1,1,11,99,0,20,0,0,0,1,9,2,1,15,1,8,2,1,0,0,300,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
13,130221,1,1,1,0,121,17,3,6,17,11,26,0,0,7,7024,4,2007,P,DODG,CTL,4D,7,17,3648,NA,0,1200,NA,G,NA,FALSE,6,165,NA,17R215,NA,NA,NA,NA,NA,NA,0,0,0,0,12,0,46,2,1,4,11,7,0,1,1,9,0,1,9,2,1,10,8,8,2,1,1,1,402,407,996,0,7,17,3,2012,6,17,617,0,0,0,0,0,************,0,7,2,0
13,130886,1,0,1,1,57,17,10,21,32,11,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,2,5,4,0,96,8,97,8,0,0,1,9,2,1,9,9,8,2,1,0,0,1,0,0,0,7,17,10,2012,21,32,2132,0,0,0,0,0,************,9,99,99,11
13,130305,1,1,1,0,121,11,4,3,1,11,30,0,0,35,35047,4,2005,P,NISS,ASR,4D,5,17,3101,NA,0,1102,NA,G,NA,FALSE,6,214,NA,17R215,NA,NA,NA,NA,NA,NA,0,0,0,1,8,0,32,2,1,4,11,3,0,8,1,9,0,1,9,2,1,10,0,8,0,0,0,0,0,0,0,5,0,11,4,2012,11,48,1148,8,47,0,0,0,************,0,7,2,0
13,130484,2,1,1,0,51,15,6,2,11,11,12,2,0,49,49032,4,2007,P,TOYT,UCS,4D,7,17,2530,NA,0,1024,NA,G,NA,FALSE,4,109,NA,15R185,NA,NA,NA,NA,NA,NA,0,0,0,0,12,0,23,2,1,3,11,3,0,1,0,0,1,1,9,2,1,13,0,8,2,1,0,0,1,0,0,1,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
13,130854,1,1,1,0,89,7,10,0,37,11,25,0,0,12,12402,14,2003,P,FORD,SPE,UT,3,17,3019,NA,0,1031,NA,G,NA,FALSE,6,181,NA,15R225,NA,NA,NA,NA,NA,NA,0,0,0,1,11,0,29,2,1,4,11,7,0,1,1,9,0,0,9,2,1,2,8,8,2,1,0,0,1,0,0,0,7,7,10,2012,0,37,37,0,0,0,0,0,************,9,99,99,0
21,210371,1,1,2,0,15,12,7,15,3,11,32,0,0,35,35047,4,1999,P,NISS,AGS,4D,99,17,2762,NA,0,1031,NA,G,NA,FALSE,4,146,NA,15R195,NA,NA,NA,NA,NA,NA,0,0,0,1,6,0,31,2,2,4,13,7,0,1,1,3,0,8,9,2,1,26,8,8,2,1,1,1,124,155,157,0,7,12,7,2012,15,8,1508,0,5,0,0,0,************,0,7,1,0
21,210163,1,1,1,0,145,11,4,23,46,1,35,0,0,37,37402,14,2002,P,HOND,CRV,UT,2,17,3347,NA,0,1031,NA,G,NA,FALSE,4,146,NA,15R205,NA,NA,NA,NA,NA,NA,0,0,0,1,12,0,45,2,1,4,11,3,0,20,0,0,1,1,5,2,1,12,0,8,2,2,2,3,155,157,401,0,7,12,4,2012,0,2,2,0,16,0,0,0,************,0,7,1,0
22,220213,2,1,1,0,103,20,5,1,4,11,12,2,0,20,20481,31,2002,T,CHEV,SC1,PK,2,17,NA,2,1330,1190,SIL,G,NA,NA,6,262,NA,NA,B,4073,01,NA,NA,42,0,0,0,0,12,0,51,2,1,2,11,3,0,9,0,0,1,1,9,2,1,8,8,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
22,220213,2,2,1,0,103,20,5,1,4,11,12,2,0,35,35402,14,2002,P,NISS,XTR,UT,2,17,3638,NA,0,1043,NA,G,NA,FALSE,6,201,NA,16R265,NA,NA,NA,NA,NA,NA,0,0,0,0,12,0,42,2,1,4,11,3,0,9,0,0,1,0,9,2,1,8,0,8,2,1,0,0,997,0,0,5,0,20,5,2012,2,30,230,1,26,0,0,0,************,9,99,1,0
22,220547,2,0,1,2,89,17,11,4,51,11,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2,5,4,0,96,8,97,8,0,0,0,9,2,1,2,0,8,2,1,0,0,1,0,0,0,7,17,11,2012,4,51,451,0,0,0,0,0,************,0,7,2,11
22,220346,2,0,1,1,51,17,6,21,0,11,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,2,5,4,0,96,8,97,8,0,0,1,9,2,1,18,0,8,2,1,0,0,1,0,0,0,7,17,6,2012,21,19,2119,0,19,0,0,0,************,0,7,2,11
22,220506,1,1,1,0,51,28,10,17,11,11,59,0,0,37,37402,14,2000,P,HOND,CRV,UT,0,17,3126,NA,0,1032,NA,G,NA,FALSE,4,120,NA,15R205,NA,NA,NA,NA,NA,NA,0,0,0,0,12,1,35,2,1,4,11,99,0,99,0,0,1,9,9,2,1,10,9,8,2,1,1,0,304,605,0,0,7,28,10,2012,17,23,1723,0,12,0,0,0,************,0,99,1,0
24,240444,3,1,1,0,31,24,12,19,40,11,12,11,0,20,20037,4,2008,P,CHEV,M/L,4D,8,17,3297,NA,0,1063,NA,G,NA,FALSE,4,134,NA,15R205,NA,NA,NA,NA,NA,NA,0,0,0,0,12,0,36,2,1,1,11,3,0,20,0,0,0,1,9,2,1,4,0,7,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
24,240444,3,1,2,0,31,24,12,19,40,11,12,11,0,20,20037,4,2008,P,CHEV,M/L,4D,8,17,3297,NA,0,1063,NA,G,NA,FALSE,4,134,NA,15R205,NA,NA,NA,NA,NA,NA,0,0,0,0,12,0,30,2,2,4,21,7,0,0,0,0,0,8,9,2,1,26,8,8,2,1,0,0,1,0,0,5,0,24,12,2012,20,12,2012,0,32,0,0,0,************,0,7,2,0
24,240168,3,1,3,0,33,9,6,2,47,11,12,1,0,7,7028,2,2009,P,DODG,CRT,CP,9,17,4041,NA,0,1160,NA,G,NA,FALSE,8,348,NA,18R235,NA,NA,NA,NA,NA,NA,0,0,0,0,12,1,22,2,2,4,13,99,0,99,0,0,0,8,9,2,1,3,8,8,2,1,0,0,996,0,0,0,7,9,6,2012,2,47,247,0,0,0,0,0,************,9,99,99,0
24,240171,2,1,1,0,3,14,6,1,37,11,12,2,0,55,55036,4,2007,P,HYUN,AGS,2H,7,17,2467,NA,0,984,NA,G,NA,FALSE,4,098,NA,14R175,NA,NA,NA,NA,NA,NA,0,0,0,0,12,0,25,2,1,4,11,3,0,20,0,0,0,0,9,2,1,33,0,7,2,1,0,0,1,0,0,0,7,14,6,2012,1,37,137,0,0,0,0,0,************,0,7,1,0
24,240418,2,1,2,0,25,24,11,2,10,11,12,6,0,59,59032,4,2005,P,LEXS,L43,4D,5,17,3990,NA,0,1152,NA,G,NA,FALSE,8,262,NA,17R225,NA,NA,NA,NA,NA,NA,0,0,0,0,9,1,17,2,2,4,23,3,0,0,0,0,0,8,9,2,1,15,8,8,2,1,0,0,1,0,0,5,0,24,11,2012,3,41,341,1,31,0,0,0,************,0,7,2,0
24,240438,2,1,1,0,3,25,11,22,1,11,12,2,0,20,20022,4,2007,P,CHEV,BLT,CP,7,17,2991,NA,0,1033,NA,G,NA,FALSE,4,134,NA,15R195,NA,NA,NA,NA,NA,NA,0,0,0,0,12,0,21,2,1,4,11,7,0,1,0,0,0,0,9,2,1,21,0,8,2,1,0,0,996,0,0,0,7,25,11,2012,22,3,2203,0,2,0,0,0,************,0,7,1,0
28,280036,1,1,1,0,47,1,2,5,14,1,8,0,0,12,12003,2,2005,P,FORD,MUS,CP,5,17,3300,NA,0,1071,NA,G,NA,FALSE,6,244,NA,16R215,NA,NA,NA,NA,NA,NA,0,0,0,0,12,0,23,2,1,0,11,3,0,20,0,0,0,1,1,2,1,14,0,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
37,370252,2,0,1,1,21,13,4,22,47,1,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,5,4,0,96,8,97,8,0,0,1,9,2,1,14,0,8,0,0,0,0,0,0,0,0,7,13,4,2012,22,47,2247,0,0,0,0,0,************,0,7,1,11
37,370006,1,1,1,0,21,16,1,2,13,11,35,0,0,55,55033,4,2011,P,HYUN,SLI,4D,11,17,3338,NA,0,1100,NA,G,NA,TRUE,4,121,NA,17R215,NA,NA,NA,NA,NA,NA,0,0,0,1,2,0,27,2,1,3,11,3,0,1,0,0,0,1,9,2,1,11,1,8,2,7,0,0,997,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
